id,page,href
43,1,https://www.vietnamworks.com/nutrition-training-supervisor-1822660-jv?source=searchResults&searchType=2&placement=1822660&sortBy=date
44,1,https://www.vietnamworks.com/training-executive-outsource-1806279-jv?source=searchResults&searchType=2&placement=1806279&sortBy=date
45,1,https://www.vietnamworks.com/nhan-vien-ky-thuat-thiet-ke--1820624-jv?source=searchResults&searchType=2&placement=1820624&sortBy=date
46,1,https://www.vietnamworks.com/nhan-vien-nghiep-vu-logistics--1822166-jv?source=searchResults&searchType=2&placement=1822166&sortBy=date
47,1,https://www.vietnamworks.com/ke-toan-thue-mang-xay-dung--1824651-jv?source=searchResults&searchType=2&placement=1824651&sortBy=date
48,1,https://www.vietnamworks.com/senior-ux-ui-designer--1824657-jv?source=searchResults&searchType=2&placement=1824657&sortBy=date
49,1,https://www.vietnamworks.com/technical-support-for-dynamic-365-fresher-with-it-background-1824726-jv?source=searchResults&searchType=2&placement=1824726&sortBy=date
50,2,https://www.vietnamworks.com/tuyen-gap-truong-phong-nhan-su-hr-manager-thu-nhap-tu-20tr-thang-tro-len-1824639-jv?source=searchResults&searchType=2&placement=1824689&sortBy=date
51,2,https://www.vietnamworks.com/maintenance-supervisor-1824652-jv?source=searchResults&searchType=2&placement=1824702&sortBy=date
52,2,https://www.vietnamworks.com/ke-toan-tong-hop-talented-general-accountant--1811246-jv?source=searchResults&searchType=2&placement=1811296&sortBy=date
53,2,https://www.vietnamworks.com/tuyen-sinh-thac-sy-tai-chinh-1-1-1-1--1824695-jv?source=searchResults&searchType=2&placement=1824745&sortBy=date
54,2,https://www.vietnamworks.com/nhan-vien-ban-hang--1816995-jv?source=searchResults&searchType=2&placement=1817045&sortBy=date
55,2,https://www.vietnamworks.com/can-bo-kinh-doanh--1824653-jv?source=searchResults&searchType=2&placement=1824703&sortBy=date
56,2,https://www.vietnamworks.com/content-marketing-team-lead--1821040-jv?source=searchResults&searchType=2&placement=1821090&sortBy=date
57,2,https://www.vietnamworks.com/truong-phong-hanh-chinh-nhan-su-tong-hop-1820948-jv?source=searchResults&searchType=2&placement=1820998&sortBy=date
58,2,https://www.vietnamworks.com/senior-service-engineer-chinese-korean-speaking-1821170-jv?source=searchResults&searchType=2&placement=1821220&sortBy=date
59,2,https://www.vietnamworks.com/warehouse-operations-supervisor--1821174-jv?source=searchResults&searchType=2&placement=1821224&sortBy=date
60,2,https://www.vietnamworks.com/data-engineer--1821184-jv?source=searchResults&searchType=2&placement=1821234&sortBy=date
61,2,https://www.vietnamworks.com/chuyen-vien-cao-cap-dao-tao-phat-trien-1821191-jv?source=searchResults&searchType=2&placement=1821241&sortBy=date
62,2,https://www.vietnamworks.com/she-officer-male-only-1821192-jv?source=searchResults&searchType=2&placement=1821242&sortBy=date
